id;name
ccj9;По основному месту работы в течение последних 30 дней Вы получили какую-нибудь суммуденег в качестве зарплаты, премии, дотаций, пособий, доходов, прибыли?
ccj90;Какой ответ лучше всего описывает Ваше основное занятие в настоящее время?
cck10;В течение последних 7 дней за ребенком ухаживали родственники, которые живут отдельно?
cck11;Сколько дней из последних 7 Вам помогали ухаживать за Вашим ребенком родственники,которые живут отдельно?
cck12a;В те дни из последних 7, когда Ваши родственники, живущие отдельно, помогали ухаживатьза ребенком, сколько в среднем часов и минут в день это составляло? (часов)
"cck12b;В те дни из последних 7, когда Ваши родственники, живущие отдельно, помогали ухаживать
за ребенком, сколько в среднем часов и минут в день это составляло? (минут)"
cck13;В течение последних 7 дней ребенок ходил в детский сад, ясли, группу продленного дня вшколе или тому подобное?
cck14;Сколько дней из последних 7 Ваш ребенок ходил в детский сад, ясли, группу продленногодня в школе или тому подобное?
cck15a;В те дни из последних 7, когда ребенок ходил в детский сад, ясли, группу продленного дня вшколе или тому подобное, сколько в среднем часов и минут в день это составляло? (часов)
"cck15b;В те дни из последних 7, когда ребенок ходил в детский сад, ясли, группу продленного дня в
школе или тому подобное, сколько в среднем часов и минут в день это составляло? (минут)"
cck17;В течение последних 7 дней Ваш помогали ухаживать за Вашим ребенком другие люди,которые не являются Вашими родственниками?
cck18;Сколько дней из последних 7 за Вашим ребенком помогали ухаживать люди, не являющиесяВашими родственниками?
